holdout	context_config	context_label	metric	n_pairs	mean_delta	sd_delta	median_delta	min_delta	max_delta	n_improved	n_worsened	wilcoxon_statistic	wilcoxon_p
unseen_cell_line	expression_regulons	Expression + regulons	test_macro_auprc	5	-0.006059843583058833	0.012718381663204721	-0.010124258134474484	-0.018226155693859547	0.010196401864501548	2	3	4.0	0.4375
unseen_cell_line	expression_regulons	Expression + regulons	test_antagonism_f1	5	-0.008924693198818006	0.03483844314061342	-0.00646094953200288	-0.05154434027825666	0.041019868581451346	2	3	5.0	0.625
unseen_cell_line	expression_regulons	Expression + regulons	test_antagonism_auroc	5	-0.019296435594661033	0.03122580836105748	-0.022703760176310595	-0.06333526188987482	0.0144661307819266	2	3	3.0	0.3125
unseen_cell_line	expression_regulons	Expression + regulons	test_antagonism_auprc	5	-0.010407589588138422	0.014919806293004058	-0.011089266396277747	-0.030734644016275542	0.01135583772458093	1	4	3.0	0.3125
unseen_cell_line	expression_regulons	Expression + regulons	test_no_interaction_f1	5	0.0174264926450848	0.046663515648894746	0.02595362548936453	-0.030892103579887586	0.08295948884616378	3	2	4.0	0.4375
unseen_cell_line	expression_regulons	Expression + regulons	test_no_interaction_auroc	5	0.006097777413712357	0.013075095969290983	-0.002979662849225573	-0.004100770759656869	0.021300910416486296	2	3	6.0	0.8125
unseen_cell_line	expression_regulons	Expression + regulons	test_no_interaction_auprc	5	0.00160814200142525	0.00667917678689155	-0.0016554663664785085	-0.004156739644711749	0.00943818151516429	2	3	6.0	0.8125
unseen_cell_line	expression_regulons	Expression + regulons	test_synergy_f1	5	-0.00661679422025484	0.03746772595282281	-0.006289660026220445	-0.050336001260907426	0.047069689431641804	2	3	6.0	0.8125
unseen_cell_line	expression_regulons	Expression + regulons	test_synergy_auroc	5	0.01519513336050513	0.04453557018685834	0.02714874613024687	-0.03205753310369219	0.07048245873325398	3	2	5.0	0.625
unseen_cell_line	expression_regulons	Expression + regulons	test_synergy_auprc	5	-0.009380083162463216	0.026169242455672523	-0.015005407552665856	-0.03943246104058912	0.024372811666210525	2	3	4.0	0.4375
unseen_cell_line	pathways	Pathways only	test_macro_f1	5	0.005557680491698835	0.015466040727155565	0.004691913684988169	-0.00889166204350772	0.030459497777597544	3	2	6.0	0.8125
unseen_cell_line	pathways	Pathways only	test_balanced_accuracy	5	-0.0030191113564072445	0.029962618577747527	0.0014269718440037549	-0.044531503094882186	0.0356225307010104	3	2	7.0	1.0
unseen_cell_line	pathways	Pathways only	test_macro_ovr_auroc	5	0.011672769724387156	0.032699474423395665	0.007296945300190538	-0.02385239308769016	0.06221119670117725	3	2	6.0	0.8125
unseen_cell_line	pathways	Pathways only	test_macro_auprc	5	0.0038126882613793043	0.01216861123848665	0.004963162273783295	-0.007112862295699018	0.022527926547324384	3	2	7.0	1.0
unseen_cell_line	pathways	Pathways only	test_antagonism_f1	5	-0.007281567804644007	0.01721992549699604	-0.0025117252115606226	-0.02940240193899013	0.015737905976933586	1	4	3.0	0.3125
unseen_cell_line	pathways	Pathways only	test_antagonism_auroc	5	-0.0034068447895916785	0.02223248502167936	-0.009070822150126667	-0.02271417625929606	0.03496108347818505	1	4	5.0	0.625
unseen_cell_line	pathways	Pathways only	test_antagonism_auprc	5	-0.0026284904752633897	0.007429797304572923	-0.004160481141271988	-0.010558703080025766	0.007950090802088	2	3	5.0	0.625
unseen_cell_line	pathways	Pathways only	test_no_interaction_f1	5	0.010895054019721729	0.045389021036033046	0.015047920269639192	-0.06158469006979472	0.058504741737072985	4	1	5.0	0.625
unseen_cell_line	pathways	Pathways only	test_no_interaction_auroc	5	-0.003951818857443157	0.03317757797497444	0.007140897143231073	-0.06044097209557919	0.02516078223096918	3	2	6.0	0.8125
unseen_cell_line	pathways	Pathways only	test_no_interaction_auprc	5	-0.0037451866532880905	0.015114918758850222	0.001645905018714422	-0.029721953877898555	0.00941751623225473	3	2	7.0	1.0
unseen_cell_line	pathways	Pathways only	test_synergy_f1	5	0.013059555260018807	0.030928430514952206	0.010569526620034186	-0.012966065615593214	0.06287897413803939	3	2	5.0	0.625
