feature	n_drugs_active	fraction_drugs_active
morgan_0598	239	0.0291748046875
morgan_0599	51	0.0062255859375
morgan_0600	144	0.017578125
morgan_0601	55	0.0067138671875
morgan_0602	93	0.0113525390625
morgan_0603	94	0.011474609375
morgan_0604	48	0.005859375
morgan_0605	75	0.0091552734375
morgan_0606	307	0.0374755859375
morgan_0607	65	0.0079345703125
morgan_0608	84	0.01025390625
morgan_0609	163	0.0198974609375
morgan_0610	289	0.0352783203125
morgan_0611	87	0.0106201171875
morgan_0612	83	0.0101318359375
morgan_0613	65	0.0079345703125
morgan_0614	85	0.0103759765625
morgan_0615	63	0.0076904296875
morgan_0616	36	0.00439453125
morgan_0617	41	0.0050048828125
morgan_0618	63	0.0076904296875
morgan_0619	66	0.008056640625
morgan_0620	108	0.01318359375
morgan_0621	57	0.0069580078125
morgan_0622	280	0.0341796875
morgan_0623	238	0.029052734375
morgan_0624	155	0.0189208984375
morgan_0625	74	0.009033203125
morgan_0626	93	0.0113525390625
morgan_0627	25	0.0030517578125
morgan_0628	105	0.0128173828125
morgan_0629	122	0.014892578125
morgan_0630	73	0.0089111328125
morgan_0631	47	0.0057373046875
morgan_0632	85	0.0103759765625
morgan_0633	42	0.005126953125
morgan_0634	80	0.009765625
morgan_0635	78	0.009521484375
morgan_0636	72	0.0087890625
morgan_0637	137	0.0167236328125
morgan_0638	160	0.01953125
morgan_0639	92	0.01123046875
morgan_0640	98	0.011962890625
morgan_0641	83	0.0101318359375
morgan_0642	38	0.004638671875
morgan_0643	43	0.0052490234375
morgan_0644	69	0.0084228515625
morgan_0645	65	0.0079345703125
morgan_0646	43	0.0052490234375
morgan_0647	92	0.01123046875
morgan_0648	24	0.0029296875
morgan_0649	136	0.0166015625
morgan_0650	6252	0.76318359375
morgan_0651	42	0.005126953125
morgan_0652	325	0.0396728515625
morgan_0653	240	0.029296875
morgan_0654	122	0.014892578125
morgan_0655	39	0.0047607421875
morgan_0656	2015	0.2459716796875
morgan_0657	59	0.0072021484375
morgan_0658	165	0.0201416015625
morgan_0659	31	0.0037841796875
morgan_0660	41	0.0050048828125
morgan_0661	142	0.017333984375
morgan_0662	60	0.00732421875
morgan_0663	36	0.00439453125
morgan_0664	117	0.0142822265625
morgan_0665	24	0.0029296875
morgan_0666	191	0.0233154296875
morgan_0667	593	0.0723876953125
morgan_0668	33	0.0040283203125
morgan_0669	38	0.004638671875
morgan_0670	45	0.0054931640625
morgan_0671	56	0.0068359375
morgan_0672	35	0.0042724609375
morgan_0673	185	0.0225830078125
morgan_0674	455	0.0555419921875
morgan_0675	937	0.1143798828125
morgan_0676	73	0.0089111328125
morgan_0677	124	0.01513671875
morgan_0678	102	0.012451171875
morgan_0679	441	0.0538330078125
morgan_0680	301	0.0367431640625
morgan_0681	35	0.0042724609375
morgan_0682	111	0.0135498046875
morgan_0683	35	0.0042724609375
morgan_0684	203	0.0247802734375
morgan_0685	34	0.004150390625
morgan_0686	33	0.0040283203125
morgan_0687	264	0.0322265625
morgan_0688	48	0.005859375
morgan_0689	227	0.0277099609375
morgan_0690	141	0.0172119140625
morgan_0691	110	0.013427734375
morgan_0692	260	0.03173828125
morgan_0693	176	0.021484375
morgan_0694	1041	0.1270751953125
morgan_0695	3137	0.3829345703125
morgan_0696	58	0.007080078125
morgan_0697	77	0.0093994140625
morgan_0698	68	0.00830078125
morgan_0699	831	0.1014404296875
morgan_0700	61	0.0074462890625
morgan_0701	76	0.00927734375
morgan_0702	110	0.013427734375
morgan_0703	244	0.02978515625
morgan_0704	43	0.0052490234375
morgan_0705	34	0.004150390625
morgan_0706	110	0.013427734375
morgan_0707	52	0.00634765625
morgan_0708	348	0.04248046875
morgan_0709	37	0.0045166015625
morgan_0710	69	0.0084228515625
morgan_0711	105	0.0128173828125
morgan_0712	62	0.007568359375
morgan_0713	278	0.033935546875
morgan_0714	77	0.0093994140625
morgan_0715	802	0.097900390625
morgan_0716	176	0.021484375
morgan_0717	40	0.0048828125
morgan_0718	760	0.0927734375
morgan_0719	43	0.0052490234375
morgan_0720	63	0.0076904296875
morgan_0721	90	0.010986328125
morgan_0722	163	0.0198974609375
morgan_0723	75	0.0091552734375
morgan_0724	200	0.0244140625
morgan_0725	369	0.0450439453125
morgan_0726	97	0.0118408203125
morgan_0727	45	0.0054931640625
morgan_0728	256	0.03125
morgan_0729	75	0.0091552734375
morgan_0730	46	0.005615234375
morgan_0731	59	0.0072021484375
morgan_0732	66	0.008056640625
morgan_0733	59	0.0072021484375
