drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
220	Dihydroartemisinin	original	37	0.01806640625	20.0	20.0	1.0	284.3519999999999	0.0
221	cerivastatin	original	55	0.02685546875	33.0	33.0	1.0	459.55800000000016	0.0
222	hydralazine	original	25	0.01220703125	12.0	12.0	1.0	160.18	0.0
223	prednisolone	original	51	0.02490234375	26.0	26.0	1.0	360.45000000000005	0.0
224	Ramelteon	original	44	0.021484375	19.0	19.0	1.0	259.349	0.0
225	tiagabine	original	46	0.0224609375	25.0	25.0	1.0	375.559	0.0
226	amoxapine	original	40	0.01953125	22.0	22.0	1.0	313.788	0.0
227	terazosin	original	52	0.025390625	28.0	28.0	1.0	387.44000000000017	0.0
228	Artemether	original	39	0.01904296875	21.0	21.0	1.0	298.37899999999996	0.0
229	itraconazole	original	78	0.0380859375	49.0	49.0	1.0	705.6470000000003	0.0
230	Imatinib	original	65	0.03173828125	37.0	37.0	1.0	493.61500000000024	0.0
231	galanthamine	original	48	0.0234375	21.0	21.0	1.0	287.359	0.0
232	irinotecan	original	78	0.0380859375	43.0	43.0	1.0	586.6890000000001	0.0
233	nizatidine	original	49	0.02392578125	21.0	21.0	1.0	331.4670000000001	0.0
234	tacrolimus	original	87	0.04248046875	57.0	57.0	1.0	804.0310000000002	0.0
235	Tizoxanide	original	38	0.0185546875	18.0	18.0	1.0	265.25	0.0
236	dipyridamole	original	30	0.0146484375	36.0	36.0	1.0	504.6360000000005	0.0
237	Lubiprostone	original	51	0.02490234375	27.0	27.0	1.0	390.4670000000001	0.0
238	atenolol	original	37	0.01806640625	19.0	19.0	1.0	266.34099999999995	0.0
239	tolazoline	original	25	0.01220703125	12.0	12.0	1.0	160.22	0.0
240	methylergonovine	original	57	0.02783203125	25.0	25.0	1.0	339.4390000000001	0.0
241	Minoxidil sulphate	original	36	0.017578125	19.0	19.0	1.0	289.317	0.0
242	Cycloguanil	original	30	0.0146484375	17.0	17.0	1.0	251.721	0.0
243	mefloquine	original	46	0.0224609375	26.0	26.0	1.0	378.316	0.0
244	Lumefantrine	original	48	0.0234375	35.0	35.0	1.0	528.9510000000001	0.0
245	trimethobenzamide	original	44	0.021484375	28.0	28.0	1.0	388.46400000000017	0.0
