source	n_targets	mean_abs_prior_weight
TRIM62	1	1.0
TRIM8	1	1.0
CREG1	1	1.0
GSC2	1	1.0
TBL1X	1	1.0
TAF5	1	1.0
TAF12	1	1.0
FOXN3	1	1.0
SUPT3H	1	1.0
GATAD2B	1	1.0
URI1	1	1.0
GLIS1	1	1.0
VAX1	1	1.0
TRIM21	1	1.0
TRIM15	1	1.0
TRIM14	1	1.0
FLYWCH1	1	1.0
OSR2	1	1.0
DRAP1	1	1.0
DNAJC1	1	1.0
DMRTA2	1	1.0
DTX1	1	1.0
TET2	1	1.0
ONECUT3	1	1.0
THAP12	1	1.0
EID1	1	1.0
EID2B	1	1.0
TLE1	1	1.0
TLE3	1	1.0
TLE4	1	1.0
ESX1	1	1.0
TOB1	1	1.0
FAM170A	1	1.0
FERD3L	1	1.0
TP53BP1	1	1.0
DBX1	1	1.0
CNOT4	1	1.0
GTF2A1	1	1.0
SCRT1	1	1.0
NDN	1	1.0
SOX14	1	1.0
ZBTB8A	1	1.0
ZBTB8B	1	1.0
ZC3H8	1	1.0
HMX2	1	1.0
ZFHX4	1	1.0
ZFP1	1	1.0
NUCKS1	1	1.0
DNAJC2	1	1.0
HOXC5	1	1.0
GTF2B	1	1.0
SLC2A4RG	1	1.0
SIX5	1	1.0
BATF2	1	1.0
ZHX1	1	1.0
BARHL2	1	1.0
HOXD12	1	1.0
NACC2	1	1.0
ZIK1	1	1.0
NAB1	1	1.0
HMG20B	1	1.0
ZBTB5	1	1.0
ZBTB48	1	1.0
ZBTB44	1	1.0
CGGBP1	1	1.0
GTF2F1	1	1.0
CDC5L	1	1.0
CCND1	1	1.0
CCDC62	1	1.0
YBX2	1	1.0
CC2D1B	1	1.0
CC2D1A	1	1.0
GZF1	1	1.0
PARP14	1	1.0
ZBTB12	1	1.0
PARP9	1	1.0
HELT	1	1.0
HES3	1	1.0
SP140	1	1.0
PASD1	1	1.0
HES7	1	1.0
HIRA	1	1.0
ADNP	1	1.0
SMARCC2	1	1.0
