source	n_prior_targets	n_evaluated_nonself_targets	n_supported_targets	mean_abs_rho	median_abs_rho	max_abs_rho	fraction_supported
EZH2	157	156	109	0.20184937987932675	0.1576917502887205	0.6892154681397082	0.6987179487179487
CEBPA	233	232	107	0.11195192022000834	0.09072648830065055	0.37861222003042105	0.46120689655172414
DNMT1	185	184	104	0.1695821104707489	0.12813619670791423	0.6787482493259062	0.5652173913043478
PPARA	267	266	103	0.09231350739310443	0.07549170740007932	0.3511574245651708	0.38721804511278196
ESR2	208	207	100	0.11622484321916297	0.09671213050202875	0.39810534634065453	0.4830917874396135
TBP	163	162	99	0.1696591048400601	0.13135834885670805	0.5185414112419382	0.6111111111111112
FOXO3	195	194	99	0.11578066486677321	0.10174772694212662	0.34088728375262767	0.5103092783505154
TP63	203	202	99	0.11324182259007043	0.09694108535745696	0.48172259444885995	0.4900990099009901
HNF1A	145	144	98	0.169102072492337	0.15948115923121722	0.4482833195968387	0.6805555555555556
RUNX1	195	194	96	0.12069990065555439	0.09537049519891555	0.4404364036464757	0.4948453608247423
GLI2	148	148	93	0.17858873873680586	0.15386695895054697	0.5259597970069467	0.6283783783783784
KLF4	129	128	89	0.18468976657896388	0.16149574474535633	0.5401251592224813	0.6953125
GLI1	179	178	89	0.11561391736806412	0.09954292516949054	0.4022524503833181	0.5
GATA1	142	141	87	0.1417010363013594	0.1276174309691871	0.3840347063059239	0.6170212765957447
VDR	151	150	87	0.13386158468414705	0.11630495062710788	0.3763140703761073	0.58
PAX6	166	165	87	0.11010668078541426	0.10579945672837167	0.28985517974219305	0.5272727272727272
TCF3	127	126	84	0.1623967155446496	0.1418385124145578	0.5390629792445794	0.6666666666666666
CEBPG	203	203	84	0.10167007325375226	0.07939590699091911	0.597375051030684	0.41379310344827586
CTCF	144	143	83	0.1719863080976481	0.12780496888153436	0.6302901568454131	0.5804195804195804
RBPJ	155	154	83	0.1240723969558459	0.10653001692876549	0.39718993274711023	0.538961038961039
FOXA2	135	134	82	0.15973835596687544	0.12346777775151899	0.5648619240941274	0.6119402985074627
TCF7L2	117	117	79	0.1678395135186312	0.16717510754276643	0.45512017426077533	0.6752136752136753
MYCN	139	138	78	0.1142116885844031	0.10689129684721213	0.3192628409009131	0.5652173913043478
NR1I2	228	227	78	0.08840251392158296	0.07325392646967697	0.3099389442817318	0.3436123348017621
TP73	126	125	77	0.13361699997609297	0.11970354012340045	0.428118119588421	0.616
SMAD4	141	141	77	0.1414346917840209	0.11763794968003446	0.5086232695456119	0.5460992907801419
STAT5A	211	210	75	0.0897619883047942	0.07178588854818442	0.37143705131142984	0.35714285714285715
RUNX2	129	128	74	0.15277711383682752	0.12520943756091035	0.4331341757391151	0.578125
STAT5B	104	103	73	0.15549063935926183	0.144454858035826	0.41841227331236874	0.7087378640776699
MITF	111	110	73	0.16870049786606778	0.13933250477242354	0.45082978836268783	0.6636363636363637
POU2F1	123	123	73	0.15351787244018977	0.12081408931530785	0.52093264698222	0.5934959349593496
NR1H3	136	135	72	0.11980020587422052	0.10748590773053283	0.40212920091004506	0.5333333333333333
ATF4	127	126	70	0.1349768350550607	0.11108208067568714	0.5795573243393296	0.5555555555555556
SSRP1	147	147	65	0.13361667618487005	0.09309544085286962	0.626082278868596	0.4421768707482993
EPAS1	92	91	63	0.19470191281164664	0.1726695318986608	0.5224641095915796	0.6923076923076923
